date,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
01-Jan-1997,2.5522923,5.1112437,5.1293321,2.3122394,4.1552396,4.3538275,4.6519971
01-Feb-1997,6.0153913,4.0821996,4.8780241,5.6080956,4.6520014,4.5382981,4.2559614
01-Mar-1997,5.7200918,4.8791175,6.2793994,4.8567991,3.9560161,4.6786647,4.7252917
01-Apr-1997,5.4067221,4.8956881,4.6210337,6.4538522,4.3802652,4.342958,5.2643733
01-May-1997,4.7856021,3.7738853,5.6239719,3.7295814,5.1293292,5.6073084,3.9222786
01-Jun-1997,5.7920065,4.6857219,6.3058157,5.6441288,4.6091104,5.1664381,4.7843671
01-Jul-1997,2.9852962,4.0827818,5.6245327,7.4107971,6.1875443,3.7738853,5.1684494
01-Aug-1997,5.0792212,3.9220712,6.4538522,4.2559614,3.6923349,6.4057703,4.878849
01-Sep-1997,6.0624623,4.5120463,5.1500549,6.0624623,4.2420754,4.0827818,5.4067221
01-Oct-1997,5.1293292,4.3004732,7.2320662,.15736005,4.4451761,4.8790121,5.4067221
01-Nov-1997,6.4538522,3.9223559,5.2095108,6.4984822,4.3877926,3.0282376,5.4067221
01-Dec-1997,9.5310183,4.4451761,6.4538522,4.8790164,5.7158413,4.0820704,4.0821996
01-Jan-1998,5.1293292,3.6367645,7.4107971,4.8790164,4.7216692,3.0771658,4.1964197
01-Feb-1998,3.8839796,4.0821996,5.827692,6.6138797,4.4451761,3.6367645,4.5985069
01-Mar-1998,5.1293292,3.7740266,5.9780364,5.9205384,4.0240173,4.8667316,4.6520014
01-Apr-1998,3.6742816,5.4067221,5.4067221,5.6084156,6.0624623,5.8268909,4.8790164
01-May-1998,4.4451761,4.593152,7.1495957,5.1293292,4.8494306,7.4686513,6.1693559
01-Jun-1998,4.0821996,5.4724879,7.4105082,4.8790164,5.4374938,4.8867083,6.0829535
01-Jul-1998,4.241518,5.0394049,6.4536324,4.8790164,5.3766418,6.45363,5.260993
01-Aug-1998,7.696104,4.445178,5.7158413,6.7658629,5.0693159,5.8268886,6.8992872
01-Sep-1998,7.4107971,4.6059561,6.4542809,4.0231977,4.9746552,4.6683598,4.720808
01-Oct-1998,4.6520014,4.4451761,6.4538522,6.4538522,4.4777541,6.4538522,5.4067221
01-Nov-1998,3.5091319,5.8840499,6.6619678,4.4783559,5.2095108,6.6387639,5.4067221
01-Dec-1998,5.4667702,5.1293292,7.2487168,3.2789824,5.7089,6.1861176,5.3828931
01-Jan-1999,5.1293292,4.5909753,5.8534236,.75757861,4.290751,6.4542837,5.3928351
01-Feb-1999,3.9238114,5.8268919,6.8990407,4.6520014,4.548758,4.9007597,5.7084632
01-Mar-1999,6.8992872,4.8790188,6.4538522,4.4825454,5.4067221,6.4538522,6.7139301
01-Apr-1999,4.6520014,3.92399,6.8993816,4.6573491,4.2633667,5.8648248,5.1959753
01-May-1999,3.5091319,5.1293292,6.4538522,2.014457,6.0624623,5.4067221,4.8907113
01-Jun-1999,5.5724721,4.0821996,6.1208353,4.0821996,5.1291428,5.3049212,4.5789757
01-Jul-1999,5.8631678,5.4067221,7.2320662,2.8987508,3.7740328,4.0821996,5.535008
01-Aug-1999,5.2185755,4.8790197,6.5387545,3.5091319,3.5718105,5.9075418,5.0430856
01-Sep-1999,6.5751357,5.4065604,7.9137321,4.3333116,4.7277279,6.0624623,4.7554469
01-Oct-1999,6.4536324,4.6520014,6.4498954,4.0821996,5.8063822,7.6118927,5.7158413
01-Nov-1999,7.9043231,4.2370782,6.3715816,4.0821996,4.8790121,5.8723164,5.1293292
01-Dec-1999,5.7158413,4.2559614,5.3432527,5.7158413,4.9282136,6.2084413,4.8790164
01-Jan-2000,5.1293292,4.8793635,4.6520014,4.8790164,4.5462394,8.700942,4.9871807
01-Feb-2000,4.0056505,4.4451761,7.4322329,4.4016867,6.0624623,4.3059506,4.879015
01-Mar-2000,4.9896989,4.9221277,5.3809986,2.3810627,3.9220712,5.7158413,5.1289277
01-Apr-2000,6.8992872,4.8603578,6.2899008,4.6520014,3.9226024,4.5718436,6.8992872
01-May-2000,4.3868723,5.6089501,6.8992872,4.585093,4.0820527,3.6638961,5.1293306
01-Jun-2000,4.8790164,4.7731433,8.005022,6.0624623,5.8281293,4.0821996,4.6520014
01-Jul-2000,6.99999,4.8790164,6.8992872,4.0821133,4.6520014,7.5514793,5.1293292
01-Aug-2000,6.8992872,5.3843589,7.4107971,5.871119,3.4815466,6.8992872,4.4016895
01-Sep-2000,6.6134491,4.1769395,7.4107971,3.6367645,4.0546122,4.9271049,6.7441282
01-Oct-2000,8.0042706,4.974381,6.4538522,4.7402239,5.4067221,5.4067221,5.5688872
01-Nov-2000,4.3719325,4.6801291,7.0201707,6.4538522,4.6520014,6.2298989,6.720871
01-Dec-2000,9.5310183,5.2125735,6.899044,3.0077426,5.3400745,4.2559614,5.1826549
01-Jan-2001,3.7740328,4.4716821,8.3381605,4.2317653,4.8796844,6.2520356,5.1671996
01-Feb-2001,6.1557894,4.6520014,6.0624623,5.5569863,5.7156301,4.4206114,6.2847943
01-Mar-2001,7.4107971,4.4451761,4.1964226,7.7961531,4.4515567,5.9716926,5.5350065
01-Apr-2001,4.7779603,6.45363,5.6921687,5.1293306,4.4451761,4.3519435,6.3047004
01-May-2001,7.4107971,4.8787599,5.8819642,3.8018117,4.3296804,6.8992872,4.8790188
01-Jun-2001,5.1594043,6.0153913,5.6410275,5.0099959,5.5569863,7.57969,5.1819758
01-Jul-2001,7.796154,4.2466111,7.0028682,5.0415449,3.211282,6.2918091,5.6089501
01-Aug-2001,6.4538498,5.3488684,7.2160859,3.4685581,3.8151808,5.4067221,5.1292915
01-Sep-2001,5.7158413,5.4063015,6.2771993,2.4232247,3.390466,3.9226024,5.4232011
01-Oct-2001,5.1293292,5.6569343,6.0624623,2.2475889,4.8827295,5.9317994,4.9583473
01-Nov-2001,4.0821996,5.5569863,4.0821996,4.2820044,5.9269466,4.0820704,4.8790164
01-Dec-2001,6.4538522,4.1413746,5.6712713,3.9233394,4.6520014,5.1304932,4.6520014
01-Jan-2002,5.3350506,4.5217571,5.7504544,3.4876976,3.9220755,6.7010713,5.0966454
01-Feb-2002,0,6.2794571,4.0820532,3.6367645,3.0371048,5.4502854,4.2559614
01-Mar-2002,3.2039361,4.908968,5.8335605,2.898747,3.3901551,4.4451761,3.5767255
01-Apr-2002,5.4067221,5.1293292,5.2655568,1.6807102,2.9828198,4.4451761,3.9220712
01-May-2002,6.8992872,5.2655625,4.5879607,4.082201,3.1667163,4.5694966,4.4451761
01-Jun-2002,4.9906359,4.9428687,5.7158413,0,3.628463,5.9044995,3.9220712
01-Jul-2002,4.8790164,4.8788319,3.7740328,1.1696029,2.8987536,7.2318001,3.5091319
01-Aug-2002,6.4538522,4.8412166,4.0820704,2.9558821,3.6366274,5.4067221,4.8788333
01-Sep-2002,4.2559614,3.7850258,3.6366274,3.3901551,3.1965418,4.4451761,3.5091319
01-Oct-2002,4.4735861,4.3483644,3.4401395,0,1.9802628,7.0375314,3.1867752
01-Nov-2002,3.4906168,3.5367141,3.5091319,0,2.9462006,5.7811632,3.2788711
01-Dec-2002,1.1040461,4.5120435,2.9544249,3.2789793,2.5158596,5.1293321,4.0821996
01-Jan-2003,2.0881422,4.5983472,4.6317945,4.2559614,2.5312738,4.7259307,3.9220755
01-Feb-2003,3.2789824,4.0821996,3.9223247,1.4981539,3.7740328,4.8790164,3.9220712
01-Mar-2003,3.4685581,3.9578948,3.8509872,1.5600926,2.3883796,4.5460768,2.9980865
01-Apr-2003,4.8788319,3.8839796,3.9220712,3.2005429,3.6257715,5.4070787,3.0205843
01-May-2003,4.2559614,4.2559614,5.1293292,.4788236,3.6813958,3.8451488,3.2558513
01-Jun-2003,2.8170877,3.9220712,4.4124713,2.1061561,3.1748698,1.5511715,4.7923942
01-Jul-2003,4.1003966,3.8833911,4.082428,0,2.9477475,4.2648873,3.9220712
01-Aug-2003,2.3530498,4.6520014,3.9229515,0,2.8955171,4.0821133,3.1748698
01-Sep-2003,4.4451761,4.3485069,2.8651245,0,2.9241891,2.7028646,3.6367645
01-Oct-2003,1.8018489,3.9220712,4.9864464,0,2.4769142,4.4451761,3.6367645
01-Nov-2003,3.6367645,3.4668131,2.6667459,2.1978166,3.0305321,2.0846186,3.0069654
01-Dec-2003,4.2559614,4.0922675,2.8170123,2.0202708,2.5975487,4.5460768,2.566777
01-Jan-2004,3.9220712,3.4739175,4.095922,1.8648541,3.1259513,4.0821977,3.9220712
01-Feb-2004,1.6529301,3.1514759,4.0827694,2.9558821,3.0771658,4.3106914,3.6367645
01-Mar-2004,1.8348405,3.7656736,2.7398975,1.6807102,2.9558794,4.2406654,3.2131248
01-Apr-2004,1.918281,3.4854615,3.3039885,3.1090608,2.197892,6.0504537,3.3006296
01-May-2004,5.073946,3.8918562,4.0821996,2.6668248,2.469259,4.8790164,3.3901551
01-Jun-2004,3.0771658,3.7740328,3.5090044,0,2.506777,5.0388627,2.964226
01-Jul-2004,3.9780905,3.0771606,3.9220712,5.1293292,2.6050651,5.5975518,3.6367645
01-Aug-2004,3.2523162,3.6957412,4.8788319,1.3078477,2.9194467,6.8992805,3.2552588
01-Sep-2004,4.2559614,4.1473222,4.2559614,3.6806333,3.2789843,4.5462403,3.3901551
01-Oct-2004,5.2185755,3.2789824,3.7039816,2.8057907,2.1506205,4.0823026,3.7979271
01-Nov-2004,0,4.2498555,3.3335922,2.5234423,1.9802628,3.9228241,3.8099811
01-Dec-2004,3.6367645,2.854203,4.5809536,0,2.9852962,3.7708027,2.976114
01-Jan-2005,2.4076104,3.6367645,4.0822029,4.2997804,3.9002094,3.8719823,3.8839858
01-Feb-2005,1.6529301,3.1933942,3.9220712,0,3.3900242,4.4451761,4.3677874
01-Mar-2005,4.0821996,3.884902,3.6367645,5.1293292,2.3867481,4.9282136,3.1388347
01-Apr-2005,4.8790164,3.7039852,3.077595,2.5158596,3.9225285,3.8226373,3.4685581
01-May-2005,4.5120435,3.6813939,3.4884415,.099743403,2.5317807,4.036974,3.9220741
01-Jun-2005,6.4538522,4.2559614,5.1293292,.88626647,3.6367645,5.5284224,2.8987508
01-Jul-2005,5.7158413,4.0821996,4.9271049,3.9220712,3.9229515,4.7254667,3.1748698
01-Aug-2005,6.8217621,3.6366274,3.8474941,.71174949,3.7740328,3.7960851,4.3802652
01-Sep-2005,6.8992872,3.9334071,4.3004704,0,3.2897704,5.2471304,3.2789824
01-Oct-2005,6.4538522,3.7740328,5.2750535,3.7740328,3.2861686,1.5126053,4.4739981
01-Nov-2005,2.1506205,4.3060489,5.8754358,1.9126248,3.9156678,5.6570373,5.1289277
01-Dec-2005,0,3.9222655,3.9226024,5.8840499,2.7587886,5.8268895,2.9544265
01-Jan-2006,3.5091319,3.8455589,6.440865,3.5091319,3.1807368,4.8790164,3.5716815
01-Feb-2006,2.4692612,3.0770752,4.1823602,2.2957525,4.0821996,2.5988166,3.6275036
01-Mar-2006,4.3291645,4.0821133,4.7957921,4.1385241,2.8987536,1.8013153,4.1803427
01-Apr-2006,3.3901551,4.4375839,3.9229515,3.4029734,3.3420258,4.4451761,4.8790164
01-May-2006,8.0042706,2.5913203,6.049046,2.8464847,3.8830874,2.9653006,3.4685581
01-Jun-2006,4.0821996,3.9226077,3.9638698,3.5091319,3.9229515,3.796572,3.0771658
01-Jul-2006,5.7158127,3.1748698,5.5880461,1.0929008,3.077481,6.1204929,3.923991
01-Aug-2006,4.0821996,5.231132,2.1983805,3.8099811,3.99439,4.9222536,4.7715492
01-Sep-2006,4.0005336,4.5605931,4.765574,0,2.9712832,6.6136236,3.5091319
01-Oct-2006,4.7091613,3.3039889,3.8935623,1.4888575,3.4321735,3.9220712,3.6049886
01-Nov-2006,3.2789824,4.5809536,4.960413,3.9220676,5.2518053,3.4684291,4.9068499
01-Dec-2006,3.9220712,2.9374568,4.7252884,3.3901551,4.0821996,6.5753808,4.0821996
01-Jan-2007,6.0153913,4.4997382,3.8953929,3.7738891,4.0273819,5.7893996,3.9405279
01-Feb-2007,3.3901551,3.9740317,4.0821996,6.8992872,2.8344417,5.2440586,3.4397626
01-Mar-2007,3.6179695,4.8790193,4.645206,4.9480042,4.7467446,6.0622339,4.8790164
01-Apr-2007,4.4134831,3.9220712,5.06427,3.6904557,3.4720399,4.0821996,3.6932242
01-May-2007,6.6768212,4.348361,3.8466282,3.1748698,3.1220024,4.6518245,3.7740328
01-Jun-2007,5.7158413,4.3677874,4.2559614,2.6145256,3.1849825,5.406517,4.0821996
01-Jul-2007,2.2884295,5.3117361,5.150754,5.1291428,4.2891579,3.4401426,4.4016867
01-Aug-2007,5.7158413,3.9106243,4.1383672,4.0821996,4.8790135,5.5713954,3.7271395
01-Sep-2007,5.1293292,4.4850569,5.7158413,4.2443051,2.5312448,2.9558816,5.370419
01-Oct-2007,4.8790164,4.4451761,3.923475,3.8282151,3.8466282,3.3771148,4.4650655
01-Nov-2007,6.4538522,4.2086382,3.9607716,4.7252917,3.6367645,3.1865771,6.0624623
01-Dec-2007,6.5427828,3.9299107,5.1293292,2.9757745,3.4428794,3.9220712,3.3901551
01-Jan-2008,5.1304932,2.8170877,3.7039888,1.724179,4.4171267,3.9220676,3.2353635
01-Feb-2008,4.6520014,3.9499607,4.0819302,5.7158413,4.0003886,3.6366274,4.9500666
01-Mar-2008,1.6551189,4.8840175,4.4451761,4.0470462,4.6520014,4.1730671,3.4191372
01-Apr-2008,3.9220712,4.4171267,5.8956165,3.1748698,4.7785354,3.9609101,3.7041235
01-May-2008,6.4538522,4.138382,4.0821996,4.0821996,3.0410054,6.6939454,5.129333
01-Jun-2008,4.8790164,4.0820704,4.0821996,1.9242254,3.2789824,4.6406407,5.4067221
01-Jul-2008,4.8790193,3.6228967,5.1293292,4.0821996,3.3901551,4.703208,3.7729173
01-Aug-2008,3.3901551,4.7290092,3.2788744,3.6367645,3.3534725,4.6796517,3.3032339
01-Sep-2008,6.4538522,4.4997368,5.3540783,3.5084095,2.631417,1.6260521,3.0305321
01-Oct-2008,2.5698442,3.9220676,4.6520014,2.166151,2.955879,7.2495499,4.3485112
01-Nov-2008,3.2789824,4.2559614,4.6516538,2.2282901,3.5160396,3.9229515,3.0077426
01-Dec-2008,.040008917,3.4196329,4.0821996,2.1787369,3.5268176,3.2670767,3.9220712
01-Jan-2009,6.8546572,2.3167059,2.9558821,0,4.4451761,5.1959767,3.3522723
01-Feb-2009,5.9211855,2.9852962,2.1983805,4.8790164,1.6529301,5.1289277,3.1090586
01-Mar-2009,3.3098428,4.0821996,3.2789824,1.444067,1.5070187,5.5967803,3.0077426
01-Apr-2009,4.0821996,2.988169,2.0201948,3.4840534,2.9500666,5.6572256,2.5975487
01-May-2009,1.2071536,4.0818791,3.2789824,2.8170877,3.297004,4.617815,2.8431981
01-Jun-2009,3.9226024,2.9516764,2.4096603,1.143958,0,3.5091319,2.5317807
01-Jul-2009,2.7398975,3.0716069,1.8691447,2.9947085,1.5878862,5.5569849,2.5975487
01-Aug-2009,0,2.8986506,.71174949,0,.52770436,3.4684291,.9419198
01-Sep-2009,.33278027,2.5975487,.8032164,2.7587931,2.0269387,3.6866438,3.304786
01-Oct-2009,.55402017,2.7973826,1.7314233,1.6002538,2.1027377,3.109514,2.5988166
01-Nov-2009,0,2.3530498,.0036400636,.68729055,2.2472856,3.9221759,1.9802583
01-Dec-2009,0,.58997166,1.886771,0,1.3423008,3.0863547,0
01-Jan-2010,3.2789824,2.7830048,.76162118,.99323303,1.6660444,3.8870752,.24560022
