DATE,AHE,AWGT,ECI
1965-01-01,3.20000,,
1965-02-01,3.60000,,
1965-03-01,3.98406,,
1965-04-01,3.17460,,
1965-05-01,3.96825,,
1965-06-01,3.95257,,
1965-07-01,3.54331,,
1965-08-01,3.52941,,
1965-09-01,3.51563,,
1965-10-01,4.31373,,
1965-11-01,4.29688,,
1965-12-01,3.48837,,
1966-01-01,3.87597,,
1966-02-01,3.86100,,
1966-03-01,3.44828,,
1966-04-01,4.23077,,
1966-05-01,3.81679,,
1966-06-01,3.80228,,
1966-07-01,4.18251,,
1966-08-01,4.16667,,
1966-09-01,4.15094,,
1966-10-01,4.13534,,
1966-11-01,4.11985,,
1966-12-01,4.11985,,
1967-01-01,4.47761,,
1967-02-01,4.46097,,
1967-03-01,4.07407,,
1967-04-01,4.05904,,
1967-05-01,4.04412,,
1967-06-01,4.39560,,
1967-07-01,4.37956,,
1967-08-01,4.72727,,
1967-09-01,4.34783,,
1967-10-01,4.33213,,
1967-11-01,4.67626,,
1967-12-01,5.03597,,
1968-01-01,5.00000,,
1968-02-01,4.98221,,
1968-03-01,5.69395,,
1968-04-01,6.02837,,
1968-05-01,6.00707,,
1968-06-01,5.61404,,
1968-07-01,5.94406,,
1968-08-01,5.55556,,
1968-09-01,6.59722,,
1968-10-01,6.57439,,
1968-11-01,6.52921,,
1968-12-01,6.50685,,
1969-01-01,6.12245,,
1969-02-01,6.44068,,
1969-03-01,6.39731,,
1969-04-01,6.35452,,
1969-05-01,6.33333,,
1969-06-01,6.64452,,
1969-07-01,6.27063,,
1969-08-01,6.57895,,
1969-09-01,6.18893,,
1969-10-01,6.49351,,
1969-11-01,6.45161,,
1969-12-01,6.43087,,
1970-01-01,6.08974,,
1970-02-01,6.05096,,
1970-03-01,6.32911,,
1970-04-01,5.66038,,
1970-05-01,5.64263,,
1970-06-01,5.91900,,
1970-07-01,5.90062,,
1970-08-01,6.17284,,
1970-09-01,5.82822,,
1970-10-01,5.18293,,
1970-11-01,5.15152,,
1970-12-01,5.74018,,
1971-01-01,6.64653,,
1971-02-01,6.60661,,
1971-03-01,5.95238,,
1971-04-01,6.54762,,
1971-05-01,7.12166,,
1971-06-01,6.47059,,
1971-07-01,6.45161,,
1971-08-01,6.39535,,
1971-09-01,6.37681,,
1971-10-01,6.66667,,
1971-11-01,6.62824,,
1971-12-01,6.57143,,
1972-01-01,7.64873,,
1972-02-01,7.60563,,
1972-03-01,7.86517,,
1972-04-01,7.82123,,
1972-05-01,7.47922,,
1972-06-01,7.18232,,
1972-07-01,7.43802,,
1972-08-01,7.10383,,
1972-09-01,7.35695,,
1972-10-01,7.88043,,
1972-11-01,7.83784,,
1972-12-01,7.23861,,
1973-01-01,6.05263,,
1973-02-01,6.02094,,
1973-03-01,5.72917,,
1973-04-01,5.95855,,
1973-05-01,5.67010,,
1973-06-01,6.18557,,
1973-07-01,6.41026,,
1973-08-01,6.12245,,
1973-09-01,6.59898,,
1973-10-01,6.04534,,
1973-11-01,6.26566,,
1973-12-01,6.25000,,
1974-01-01,5.95533,,
1974-02-01,5.92593,,
1974-03-01,6.40394,,
1974-04-01,5.86797,,
1974-05-01,7.31707,,
1974-06-01,7.76699,,
1974-07-01,7.22892,,
1974-08-01,7.93269,,
1974-09-01,7.85714,,
1974-10-01,8.31354,,
1974-11-01,7.78302,,
1974-12-01,8.23529,,
1975-01-01,7.96253,,
1975-02-01,8.15851,,
1975-03-01,8.10185,,
1975-04-01,7.85219,,
1975-05-01,6.59091,,
1975-06-01,6.30631,,
1975-07-01,6.51685,,
1975-08-01,6.45880,,
1975-09-01,5.73951,,
1975-10-01,5.70175,,
1975-11-01,6.34573,,
1975-12-01,5.86957,,
1976-01-01,6.29067,,
1976-02-01,6.25000,,
1976-03-01,5.99572,,
1976-04-01,6.63812,,
1976-05-01,6.82303,,
1976-06-01,6.56780,,
1976-07-01,6.75105,,
1976-08-01,6.90377,,
1976-09-01,7.30689,,
1976-10-01,7.05394,,
1976-11-01,7.20165,,
1976-12-01,7.39220,,
1977-01-01,7.34694,,
1977-02-01,7.50507,,
1977-03-01,7.47475,,
1977-04-01,7.63052,,
1977-05-01,7.78443,,
1977-06-01,7.75348,,
1977-07-01,7.90514,,
1977-08-01,7.24070,,
1977-09-01,7.19844,,
1977-10-01,7.55814,,
1977-11-01,7.10173,,
1977-12-01,7.26577,,
1978-01-01,7.60456,,
1978-02-01,7.35849,,
1978-03-01,7.70677,,
1978-04-01,8.02239,,
1978-05-01,7.77778,,
1978-06-01,8.11808,,
1978-07-01,8.05861,,
1978-08-01,8.02920,,
1978-09-01,8.34846,,
1978-10-01,8.46847,,
1978-11-01,8.42294,,
1978-12-01,8.73440,,
1979-01-01,8.30389,,
1979-02-01,8.61160,,
1979-03-01,8.55148,,
1979-04-01,7.25389,,
1979-05-01,7.73196,,
1979-06-01,7.84983,,
1979-07-01,7.79661,,
1979-08-01,8.10811,,
1979-09-01,8.04020,,
1979-10-01,7.30897,,
1979-11-01,7.60331,,
1979-12-01,7.54098,,
1980-01-01,7.17781,,
1980-02-01,7.28155,,
1980-03-01,7.55627,,
1980-04-01,8.21256,,
1980-05-01,7.81499,,
1980-06-01,7.91139,,
1980-07-01,7.86164,,
1980-08-01,7.96875,,
1980-09-01,7.75194,,
1980-10-01,8.66873,,
1980-11-01,8.90937,,
1980-12-01,8.68902,,
1981-01-01,9.28463,,
1981-02-01,9.04977,,
1981-03-01,8.96861,,
1981-04-01,9.07738,,
1981-05-01,9.02367,,
1981-06-01,8.65103,,
1981-07-01,8.60058,,
1981-08-01,8.82779,,
1981-09-01,8.77698,,
1981-10-01,8.11966,,
1981-11-01,7.61636,,
1981-12-01,7.15288,,
1982-01-01,7.52089,,
1982-02-01,6.77732,,
1982-03-01,6.31001,,
1982-04-01,6.00273,,
1982-05-01,6.37720,,
1982-06-01,5.93792,,
1982-07-01,6.04027,,
1982-08-01,5.58511,,
1982-09-01,5.02646,,
1982-10-01,4.87484,,
1982-11-01,4.58716,,
1982-12-01,4.84293,,
1983-01-01,4.40415,,
1983-02-01,4.79275,,
1983-03-01,4.51613,,
1983-04-01,4.63320,,
1983-05-01,4.20918,,
1983-06-01,4.33121,,
1983-07-01,4.05063,,
1983-08-01,3.27456,,
1983-09-01,4.15617,,
1983-10-01,4.39698,,
1983-11-01,4.13534,,
1983-12-01,3.99501,,
1984-01-01,3.97022,,
1984-02-01,3.58467,,
1984-03-01,3.82716,,
1984-04-01,3.93604,,
1984-05-01,3.42717,,
1984-06-01,3.54090,,
1984-07-01,3.52798,,
1984-08-01,3.78049,,
1984-09-01,3.38573,,
1984-10-01,2.88809,,
1984-11-01,3.12876,,
1984-12-01,3.36134,,
1985-01-01,2.74463,,
1985-02-01,3.10263,,
1985-03-01,2.97265,,
1985-04-01,2.84024,,
1985-05-01,2.95858,,
1985-06-01,3.06604,,
1985-07-01,2.70270,,
1985-08-01,2.93772,,
1985-09-01,2.92398,,
1985-10-01,2.80702,,
1985-11-01,2.80047,,
1985-12-01,3.01974,,
1986-01-01,2.78746,,
1986-02-01,2.77778,,
1986-03-01,2.65589,,
1986-04-01,2.18642,,
1986-05-01,2.29885,,
1986-06-01,2.05950,,
1986-07-01,1.94508,,
1986-08-01,2.05479,,
1986-09-01,1.59091,,
1986-10-01,1.93402,,
1986-11-01,2.27015,,
1986-12-01,1.57835,,
1987-01-01,1.92090,,
1987-02-01,1.91441,,
1987-03-01,2.02475,,
1987-04-01,2.25225,,
1987-05-01,2.35955,,
1987-06-01,2.13004,,
1987-07-01,2.35690,,
1987-08-01,2.68456,,
1987-09-01,2.79642,,
1987-10-01,2.90179,,
1987-11-01,2.88568,,
1987-12-01,2.99667,,
1988-01-01,2.99335,,
1988-02-01,2.65193,,
1988-03-01,2.64609,,
1988-04-01,3.08370,,
1988-05-01,3.29308,,
1988-06-01,3.29308,,
1988-07-01,3.61842,,
1988-08-01,3.05011,,
1988-09-01,3.48205,,
1988-10-01,3.68764,,
1988-11-01,3.34412,,
1988-12-01,3.44828,,
1989-01-01,3.87513,,
1989-02-01,4.19806,,
1989-03-01,4.18904,,
1989-04-01,4.16667,,
1989-05-01,3.50691,,
1989-06-01,3.82572,,
1989-07-01,4.02116,,
1989-08-01,3.91121,,
1989-09-01,3.78549,,
1989-10-01,3.76569,,
1989-11-01,3.65344,,
1989-12-01,3.95833,,
1990-01-01,3.83420,,
1990-02-01,4.02893,,
1990-03-01,4.22680,,
1990-04-01,3.79487,,
1990-05-01,4.31211,,
1990-06-01,4.40123,,
1990-07-01,3.96745,,
1990-08-01,4.17091,,
1990-09-01,4.15400,,
1990-10-01,3.83065,,
1990-11-01,3.92749,,
1990-12-01,3.60721,,
1991-01-01,3.49301,,
1991-02-01,3.17776,,
1991-03-01,2.96736,,
1991-04-01,3.35968,,
1991-05-01,3.24803,,
1991-06-01,3.03922,,
1991-07-01,3.13112,,
1991-08-01,3.12500,,
1991-09-01,2.91829,,
1991-10-01,2.81553,,
1991-11-01,2.81008,,
1991-12-01,2.90135,,
1992-01-01,2.70010,,
1992-02-01,2.69490,,
1992-03-01,2.68972,,
1992-04-01,2.48566,,
1992-05-01,2.38322,,
1992-06-01,2.47383,,
1992-07-01,2.27704,,
1992-08-01,2.36742,,
1992-09-01,2.26843,,
1992-10-01,2.45515,,
1992-11-01,2.35627,,
1992-12-01,2.44361,,
1993-01-01,2.62911,,
1993-02-01,2.62418,,
1993-03-01,2.80636,,
1993-04-01,2.51866,,
1993-05-01,2.51397,,
1993-06-01,2.41411,,
1993-07-01,2.50464,,
1993-08-01,2.40518,,
1993-09-01,2.49538,,
1993-10-01,2.58065,,
1993-11-01,2.67035,,
1993-12-01,2.56881,,
1994-01-01,2.47027,,
1994-02-01,2.73973,,
1994-03-01,2.36579,,
1994-04-01,2.54777,,
1994-05-01,2.54314,,
1994-06-01,2.53853,,
1994-07-01,2.62443,,
1994-08-01,2.61969,,
1994-09-01,2.61497,,
1994-10-01,2.60557,,
1994-11-01,2.69058,,
1994-12-01,2.59392,,
1995-01-01,2.50000,,
1995-02-01,2.40000,,
1995-03-01,2.66667,,
1995-04-01,2.57320,,
1995-05-01,2.74579,,
1995-06-01,2.82935,,
1995-07-01,2.91005,,
1995-08-01,2.90493,,
1995-09-01,3.07557,,
1995-10-01,2.88967,,
1995-11-01,2.88210,,
1995-12-01,2.96425,,
1996-01-01,3.31010,,
1996-02-01,3.03819,,
1996-03-01,2.94372,,
1996-04-01,3.37370,,
1996-05-01,3.18966,,
1996-06-01,3.43938,,
1996-07-01,3.34190,,
1996-08-01,3.42173,,
1996-09-01,3.41006,,
1996-10-01,3.40426,,
1996-11-01,3.56537,,
1996-12-01,3.64098,,
1997-01-01,3.62563,,
1997-02-01,3.70682,,
1997-03-01,3.86880,4.5,
1997-04-01,3.59833,4.6,
1997-05-01,3.84294,4.5,
1997-06-01,3.57440,4.6,
1997-07-01,3.64842,4.8,
1997-08-01,3.97022,4.9,
1997-09-01,3.87469,4.8,
1997-10-01,4.19753,4.8,
1997-11-01,4.18033,4.8,
1997-12-01,4.16667,4.9,
1998-01-01,4.06835,4.9,
1998-02-01,4.22421,4.8,
1998-03-01,4.21053,4.6,
1998-04-01,4.36187,4.9,
1998-05-01,4.34433,5.2,
1998-06-01,4.25361,5.4,
1998-07-01,4.08000,5.4,
1998-08-01,3.97772,5.3,
1998-09-01,4.04762,5.1,
1998-10-01,3.79147,5.0,
1998-11-01,3.61920,4.9,
1998-12-01,3.60784,5.0,
1999-01-01,3.75293,5.0,
1999-02-01,3.66329,5.0,
1999-03-01,3.57420,5.2,
1999-04-01,3.56037,5.2,
1999-05-01,3.46955,5.2,
1999-06-01,3.69515,4.9,
1999-07-01,3.84320,5.0,
1999-08-01,3.59602,4.8,
1999-09-01,3.73760,5.0,
1999-10-01,3.80518,5.1,
1999-11-01,3.72058,5.2,
1999-12-01,3.70931,5.0,
2000-01-01,3.61718,4.9,
2000-02-01,3.75940,4.8,
2000-03-01,3.90098,4.8,
2000-04-01,3.81166,4.9,
2000-05-01,3.87481,4.9,
2000-06-01,3.78619,5.0,
2000-07-01,3.77498,5.1,
2000-08-01,3.91433,5.1,
2000-09-01,3.82353,5.2,
2000-10-01,3.88563,5.2,
2000-11-01,4.17277,5.4,
2000-12-01,4.30657,5.4,
2001-01-01,3.92727,5.4,
2001-02-01,4.05797,5.3,
2001-03-01,4.11552,5.3,
2001-04-01,4.03168,5.3,
2001-05-01,4.01722,5.1,
2001-06-01,4.00572,5.2,
2001-07-01,3.78031,5.1,
2001-08-01,3.76688,5.2,
2001-09-01,3.61190,5.0,
2001-10-01,3.45801,5.0,
2001-11-01,3.37316,5.0,
2001-12-01,3.14906,5.0,
2002-01-01,3.28901,4.9,
2002-02-01,2.92479,4.7,
2002-03-01,2.77393,4.6,3.77804
2002-04-01,2.69896,4.3,
2002-05-01,2.62069,4.4,
2002-06-01,2.68226,4.2,3.85965
2002-07-01,2.95533,4.1,
2002-08-01,2.87671,4.0,
2002-09-01,2.87081,3.9,3.58796
2002-10-01,3.06958,3.8,
2002-11-01,2.99116,3.5,
2002-12-01,3.12076,3.6,3.32569
2003-01-01,3.11653,3.7,
2003-02-01,3.38295,3.9,
2003-03-01,3.03644,3.7,3.75427
2003-04-01,2.96496,3.5,
2003-05-01,3.02419,3.5,
2003-06-01,2.88011,3.6,3.60360
2003-07-01,2.80374,3.7,
2003-08-01,2.66312,3.5,
2003-09-01,2.45847,3.5,3.79888
2003-10-01,2.05162,3.4,
2003-11-01,2.04620,3.4,
2003-12-01,1.77632,3.3,3.88457
2004-01-01,1.90539,3.3,
2004-02-01,1.70157,3.4,
2004-03-01,1.89915,3.4,3.72807
2004-04-01,2.02880,3.4,
2004-05-01,1.95695,3.4,
2004-06-01,2.01823,3.3,3.80435
2004-07-01,1.88312,3.4,
2004-08-01,2.01038,3.5,
2004-09-01,2.33463,3.7,3.76749
2004-10-01,2.52918,3.7,
2004-11-01,2.45796,3.7,
2004-12-01,2.52101,3.5,3.73932
2005-01-01,2.51451,3.6,
2005-02-01,2.50965,3.5,
2005-03-01,2.63496,3.6,3.59408
2005-04-01,2.69403,3.5,
2005-05-01,2.62316,3.6,
2005-06-01,2.61646,3.8,3.24607
2005-07-01,2.93180,4.0,
2005-08-01,2.79720,4.0,
2005-09-01,2.59823,4.1,3.00830
2005-10-01,2.97280,4.0,
2005-11-01,2.96717,4.2,
2005-12-01,3.15259,4.1,3.08960
2006-01-01,3.20755,4.0,
2006-02-01,3.45261,3.8,
2006-03-01,3.56919,3.8,2.75510
2006-04-01,3.87258,3.8,
2006-05-01,3.80299,3.9,
2006-06-01,3.98010,3.8,3.04260
2006-07-01,3.83901,3.7,
2006-08-01,4.08163,3.8,
2006-09-01,4.20012,3.8,3.32326
2006-10-01,3.99263,3.8,
2006-11-01,4.10791,3.9,
2006-12-01,4.21760,4.0,3.29670
2007-01-01,4.14381,4.2,
2007-02-01,4.06553,4.1,
2007-03-01,4.11125,4.3,3.47567
2007-04-01,3.84847,4.1,
2007-05-01,4.14414,4.1,
2007-06-01,4.18660,4.0,3.44488
2007-07-01,4.11449,4.2,
2007-08-01,3.98099,4.3,
2007-09-01,4.03082,4.4,3.21637
2007-10-01,3.83934,4.3,
2007-11-01,3.82803,4.3,
2007-12-01,3.75367,4.1,3.28820
2008-01-01,3.80339,3.9,
2008-02-01,3.79009,3.9,
2008-03-01,3.83275,4.0,3.26296
2008-04-01,3.70585,4.1,
2008-05-01,3.69089,4.1,
2008-06-01,3.55913,4.1,3.04472
2008-07-01,3.66552,4.1,
2008-08-01,3.88571,4.0,
2008-09-01,3.70370,4.0,3.02172
2008-10-01,3.81115,4.0,
2008-11-01,3.85706,4.0,
2008-12-01,3.90051,3.8,2.62172
2009-01-01,3.66404,3.7,
2009-02-01,3.59551,3.4,
2009-03-01,3.46756,3.3,2.13755
2009-04-01,3.40592,3.2,
2009-05-01,3.05895,3.3,
2009-06-01,2.82705,3.1,1.75439
2009-07-01,2.70718,3.0,
2009-08-01,2.69527,2.5,
2009-09-01,2.74725,2.3,1.46654
2009-10-01,2.68493,2.1,
2009-11-01,2.67613,2.1,
2009-12-01,2.50272,1.7,1.36861
2010-01-01,2.66449,1.6,
2010-02-01,2.54881,1.7,
2010-03-01,2.21622,1.9,1.72884
2010-04-01,2.37581,1.9,
2010-05-01,2.59039,1.6,
2010-06-01,2.58760,1.7,1.90563
2010-07-01,2.42066,1.8,
2010-08-01,2.35672,2.0,
2010-09-01,2.19251,1.9,1.89702
2010-10-01,2.45464,1.7,
2010-11-01,2.18085,1.7,
2010-12-01,2.01699,1.7,1.98020
2011-01-01,2.38347,1.9,
2011-02-01,2.11528,1.9,
2011-03-01,2.11528,1.9,1.96780
2011-04-01,2.10970,1.9,
2011-05-01,2.10416,2.0,
2011-06-01,1.99685,2.0,2.13713
2011-07-01,2.25840,2.1,
2011-08-01,1.88383,2.2,
2011-09-01,1.98849,2.1,2.03901
2011-10-01,1.87500,2.2,
2011-11-01,1.82197,2.0,
2011-12-01,1.82102,2.0,2.03001
2012-01-01,1.34506,1.9,
2012-02-01,1.45003,1.9,
2012-03-01,1.70896,2.0,2.01754
2012-04-01,1.65289,2.2,
2012-05-01,1.33952,2.1,
2012-06-01,1.54560,2.3,1.83086
2012-07-01,1.38675,2.1,
2012-08-01,1.38675,2.1,
2012-09-01,1.53925,2.1,1.91138
2012-10-01,1.17587,2.1,
2012-11-01,1.43149,2.3,
2012-12-01,1.73735,2.3,1.90311
2013-01-01,1.78663,2.3,
2013-02-01,2.04186,2.3,
2013-03-01,1.83299,2.2,1.80567
2013-04-01,1.82927,2.2,
2013-05-01,1.93188,2.2,
2013-06-01,2.08016,2.1,1.88356
2013-07-01,2.02634,2.3,
2013-08-01,2.22898,2.3,
2013-09-01,2.22335,2.4,1.87553
2013-10-01,2.32441,2.2,
2013-11-01,2.31855,2.0,
2013-12-01,2.20994,2.2,1.95246
2014-01-01,2.25677,2.3,
2014-02-01,2.60130,2.5,
2014-03-01,2.50000,2.4,1.77365
2014-04-01,2.34531,2.3,
2014-05-01,2.44389,2.3,
2014-06-01,2.33598,2.3,2.01681
2014-07-01,2.33366,2.4,
2014-08-01,2.37859,2.4,
2014-09-01,2.17499,2.6,2.25941
2014-10-01,2.22222,2.8,
2014-11-01,2.31527,2.9,
2014-12-01,1.76904,2.9,2.24813
2015-01-01,2.01079,3.0,
2015-02-01,1.60897,3.0,
2015-03-01,2.00000,3.2,2.57261
2015-04-01,1.99902,3.3,
2015-05-01,2.14216,3.3,
2015-06-01,2.03983,3.2,1.97694
2015-07-01,2.03785,3.1,
2015-08-01,2.12972,3.1,
2015-09-01,2.03193,3.0,1.96399
2015-10-01,2.36715,2.9,
2015-11-01,2.11844,3.1,
2015-12-01,2.51086,3.1,2.03583
2016-01-01,2.45192,3.1,
2016-02-01,2.35125,3.2,
2016-03-01,2.29555,3.2,1.94175
2016-04-01,2.58126,3.4,
2016-05-01,2.33556,3.5,
2016-06-01,2.42742,3.6,2.34249
2016-07-01,2.61531,3.4,
2016-08-01,2.36967,3.3,
2016-09-01,2.56046,3.6,2.24719
2016-10-01,2.45399,3.9,
2016-11-01,2.35738,3.9,
2016-12-01,2.49647,3.5,2.23464
2017-01-01,2.34632,3.2,
2017-02-01,2.39100,3.2,
2017-03-01,2.29079,3.4,2.30159
2017-04-01,2.23672,3.5,
2017-05-01,2.28225,3.4,
2017-06-01,2.32342,3.2,2.36780
2017-07-01,2.31696,3.3,
2017-08-01,2.36111,3.4,
2017-09-01,2.54276,3.6,2.51177
2017-10-01,2.16490,3.4,
2017-11-01,2.34915,3.2,
2017-12-01,2.48162,2.9,2.57611
2018-01-01,2.61348,3.0,
2018-02-01,2.65568,2.9,
2018-03-01,2.83364,3.3,2.71528
2018-04-01,2.73473,3.3,
2018-05-01,2.86885,3.2,
2018-06-01,2.90645,3.2,2.77564
2018-07-01,2.80797,3.3,
2018-08-01,2.98507,3.5,
2018-09-01,2.97565,3.5,2.83308
2018-10-01,3.24617,3.7,
2018-11-01,3.51035,3.9,
2018-12-01,3.63229,3.8,2.96804
2019-01-01,3.44057,3.8,
2019-02-01,3.56824,3.4,
2019-03-01,3.60000,3.5,2.79456
2019-04-01,3.46051,3.6,
2019-05-01,3.58566,3.7,
2019-06-01,3.48632,3.9,2.77569
2019-07-01,3.65639,3.9,
2019-08-01,3.73298,3.7,
2019-09-01,3.63398,3.6,2.75503
2019-10-01,3.71179,3.5,
2019-11-01,3.60870,3.7,
2019-12-01,3.15881,3.7,2.66075
2020-01-01,3.28294,3.8,
2020-02-01,3.48837,3.7,
2020-03-01,3.81810,3.5,2.86554
2020-04-01,7.80446,3.3,
2020-05-01,6.75214,3.5,
2020-06-01,5.67164,3.8,2.62774
2020-07-01,4.84488,3.9,
2020-08-01,5.03810,3.5,
2020-09-01,4.77398,3.5,2.46377
2020-10-01,4.58947,3.5,
2020-11-01,4.65799,3.7,
2020-12-01,5.53691,3.4,2.51980
2021-01-01,5.26976,3.4,
2021-02-01,5.11860,3.4,
2021-03-01,4.75207,3.4,2.64286
2021-04-01,1.47176,3.2,
2021-05-01,2.76221,3.0,
2021-06-01,4.15658,3.2,2.91607
2021-07-01,5.14795,3.7,
2021-08-01,5.28013,3.9,
2021-09-01,6.00806,4.2,3.60679
2021-10-01,6.44122,4.1,
2021-11-01,6.53569,4.3,
2021-12-01,6.35930,4.5,4.00281
2022-01-01,6.79380,5.1,
2022-02-01,6.80918,5.8,
2022-03-01,6.98225,6.0,4.45372
2022-04-01,6.89926,6.0,
2022-05-01,6.70043,6.1,
2022-06-01,6.66408,6.7,5.11403
2022-07-01,6.55359,6.7,
2022-08-01,6.24043,6.7,
2022-09-01,5.93382,6.3,5.05119
2022-10-01,5.74887,6.4,
2022-11-01,5.72074,6.4,
2022-12-01,5.41854,6.1,5.06415
2023-01-01,5.24554,6.1,
2023-02-01,5.30022,6.1,
2023-03-01,5.16224,6.4,4.86342
2023-04-01,4.91382,6.1,
2023-05-01,4.85579,6.0,
2023-06-01,4.68580,5.6,4.53649
2023-07-01,4.70333,5.7,
2023-08-01,4.50450,5.3,
2023-09-01,4.34470,5.2,